NORAD_CAT_ID,RCS
3618,0.0641
3623,2.5119
3663,1.9009
3664,0.9177
3670,0.5627
3673,0.4534
3674,1.7836
3677,0.0681
3678,0.0717
3679,0.0161
3680,0.0342
3681,0.12
3682,0.0923
3683,0.0694
3684,0.0241
3685,0.0702
3686,0.0401
3687,0.0936
3688,0.075
3690,0.0198
3691,1.0
3692,2.2625
3694,0.02
3695,0.0392
3697,0.1095
3699,0.024
3701,0.0449
3704,0.1004
3707,0.0476
3708,0.0398
3713,0.0126
3714,0.0061
3716,0.0264
3717,0.0953
3718,0.0346
3720,0.0394
3723,0.0161
3730,0.0385
3732,0.0712
3733,0.0127
3736,0.0057
3737,0.1248
3738,0.0243
3739,0.1575
3740,0.0061
3741,0.0795
3742,0.0176
3743,0.0764
3744,0.0036
3745,0.0757
3746,0.0224
3748,0.0379
3749,0.0074
3750,0.036
3751,0.0099
3752,0.0314
3753,0.01
3755,0.0109
3757,0.0179
3758,0.0151
3764,0.7838
3767,0.571
3771,29.877
3775,7.1271
3776,13.1419
3783,0.0666
3784,0.0179
3785,0.0136
3786,0.009
3787,0.0259
3788,0.0906
3790,0.0792
3791,0.09
3792,0.0153
3793,0.0077
3794,0.036
3795,0.1203
3797,0.0218
3809,0.0083
3810,0.0049
3811,0.0679
3812,0.0754
3813,0.0245
3814,0.0156
3816,0.0271
3817,0.057
3825,0.676
3828,2.2673
3829,0.31
3835,4.4684
3836,22.1049
3838,0.0026
3839,0.024
3840,0.0595
3841,0.0574
3842,0.0174
3843,0.0196
3844,0.4926
3848,0.7161
3849,0.216
3851,0.14
3859,0.2826
3871,0.0992
3873,0.161
3874,0.0077
3875,0.005
3876,0.0863
3877,0.0962
3879,0.24
3882,0.0027
3891,0.2082
3896,0.0151
3897,0.0023
3898,0.0122
3899,0.0091
3900,0.0122
3901,0.015
3902,0.042
3903,0.0315
3904,0.1068
3908,0.0096
3910,0.0146
3911,0.0144
3912,0.0145
3922,0.03
3923,0.0199
3925,0.0039
3926,0.0426
3927,0.0542
3928,0.0058
3930,0.0028
3931,0.0339
3932,0.0196
3934,0.02
3935,0.0089
3938,0.0899
3947,2.5125
3950,0.003
3951,0.003
3952,0.003
3953,0.0648
3954,0.7568
3955,0.31
3956,6.3096
3959,0.0836
3960,0.0524
3961,0.0364
3962,0.0701
3963,0.0412
3964,0.0177
3965,0.0597
3970,0.0347
3974,0.0585
3975,0.055
3978,0.0083
3986,8.1476
3987,5.9185
3997,0.0132
4003,0.006
4005,0.0114
4006,0.0201
4008,0.0573
4009,0.0174
4011,0.0063
4012,0.0812
4013,0.0244
4014,0.0315
4015,0.0293
4016,0.0315
4017,0.003
4018,0.0119
4020,0.0153
4021,0.0061
4024,0.0165
4026,0.0541
4028,0.0039
4029,0.0145
4030,0.0125
4031,0.0118
4047,0.6115
4051,3.492
4053,0.868
4065,1.8765
4066,9.0018
4068,2.7116
4069,14.4325
4084,0.3632
4112,0.0576
4119,11.7999
4120,10.2083
4132,0.264
4133,0.054
4134,0.101
4135,0.1673
4140,0.0335
4141,0.065
4142,0.0375
4143,0.0891
4144,0.0761
4145,0.1444
4146,0.0776
4147,0.0097
4148,0.0931
4149,0.042
4152,0.0763
4154,0.1705
4155,0.0351
4156,0.1431
4157,0.084
4158,0.2273
4160,0.362
4161,0.0779
4162,0.1633
4163,0.0154
4164,0.0318
4165,0.1557
4166,0.2212
4167,0.14
4168,0.0671
4169,0.0422
4170,0.1568
4171,0.044
4172,0.1418
4173,0.037
4174,0.039
4175,0.0464
4176,0.0208
4177,0.0713
4178,0.0998
4179,0.05
4180,0.05
4181,0.1
4187,0.0618
4188,0.0667
4189,0.0553
4190,0.051
4191,0.0437
4192,0.0557
4193,0.0497
4194,0.0431
4195,0.0292
4197,0.0476
4198,0.07
4199,0.0387
4200,0.025
4201,0.0836
4202,0.0681
4203,0.1039
4204,0.0631
4205,0.05
4206,0.1546
4207,0.0392
4208,0.0409
4209,0.4134
4210,0.0916
4211,0.2165
4212,0.0646
4213,0.0216
4214,0.0651
4215,0.1054
4217,0.5478
4218,0.0559
4221,0.3281
4222,1.069
4227,0.066
4228,0.0245
4229,0.0551
4230,0.0483
4231,0.0605
4237,0.9461
4238,0.1247
4239,0.091
4240,0.094
4241,0.0214
4242,0.0407
4243,0.0323
4244,0.1282
4245,0.1121
4248,0.1065
4249,0.022
4250,1.2
4251,1.804
4256,0.4919
4257,0.964
4258,0.0659
4259,0.832
4260,0.1768
4261,0.0731
4265,0.1253
4268,0.1842
4269,0.1098
4270,0.0403
4271,0.0888
4273,6.329
4274,15.5223
4276,0.037
4277,0.2242
4278,0.0801
4295,0.3145
4297,4.4668
4298,1.224
4310,0.04
4311,0.0431
4312,0.0237
4317,0.0662
4318,0.03
4319,0.0507
4321,0.3327
4325,0.0968
4326,0.049
4330,0.4639
4331,0.9111
4344,0.7401
4348,0.1234
4349,10.8487
4350,16.9485
4353,5.1897
4354,1.8357
