NORAD_CAT_ID,RCS,SOURCE
2657,0.8,19
2661,0.65,18
2669,0.66,25
2671,1.23,19
2674,0.52,20
2680,0.62,16
2682,1.22,18
2684,0.049,20
2685,0.047,16
2700,0.039,6
2701,0.019,15
2702,0.05,11
2706,0.07,7
2707,0.06,11
2717,3.72,7
2741,1.84,29
2754,1.41,38
2755,0.29,19
2757,0.85,23
2758,0.53,15
2770,2.51,10
2775,0.08,8
2777,0.041,17
2778,0.049,14
2789,0.035,10
2796,0.22,8
2799,0.06,3
2800,0.04,16
2801,1.89,32
2802,4.6,48
2807,1.53,33
2811,0.65,24
2825,4.99,53
2826,0.41,8
2828,0.9,22
2834,0.74,16
2847,0.17,9
2861,0.4,9
2862,0.25,4
2863,0.42,3
2864,0.16,3
2865,0.29,5
2866,2.56,7
2867,1.77,4
2868,1.65,6
2872,0.34,18
2873,0.64,20
2874,0.68,15
2876,0.61,10
2877,0.8,27
2886,0.011,12
2888,0.046,15
2889,0.05,9
2909,0.06,3
2920,0.64,17
2933,0.09,4
2934,0.05,8
2940,1.64,29
2949,0.22,4
2965,1.45,32
2967,0.43,18
2969,2.51,4
2971,1.55,21
2976,0.06,7
2977,0.08,8
2980,0.61,18
2985,1.6,25
2986,0.08,10
2989,0.049,8
2994,0.047,18
2997,0.22,8
3029,2.89,4
3035,0.82,23
3036,0.57,18
3038,0.11,16
3045,0.045,15
3047,2.96,47
3048,4.26,46
3051,0.09,10
3081,2.14,51
3093,1.49,20
3094,0.6,26
3121,0.13,5
3122,0.05,10
3123,0.07,15
3124,0.023,15
3125,0.016,24
3126,0.06,17
3127,0.07,13
3129,3.24,54
3131,4.77,48
3132,0.1,8
3133,1.33,42
3137,0.6,30
3158,2.11,53
3164,0.02,31
3166,0.15,10
3173,0.71,22
3174,0.66,36
3177,1.01,31
3212,1.14,28
3213,0.049,17
3214,0.049,14
3229,3.27,41
3230,4.28,50
3239,0.12,4
3244,0.08,4
3255,0.3,8
3257,0.18,6
3266,0.62,18
3267,0.029,18
3271,1.67,29
3284,0.2,5
3286,0.22,2
3288,0.08,3
3289,0.4,3
3290,0.18,3
3291,0.29,2
3292,2.51,4
3307,17.8,34
3315,0.79,22
3338,1.12,24
3341,0.77,22
3345,0.81,20
3346,5.36,56
3373,0.08,9
3386,0.07,10
3392,0.018,18
3416,0.07,7
3417,0.08,6
3428,0.58,6
3431,2.68,4
3432,1.42,6
3454,0.038,19
3462,0.05,6
3488,0.06,9
3494,0.08,9
3504,4.86,31
3506,0.4,14
3509,0.035,14
3510,0.61,16
3522,1.93,31
3530,4.67,38
3549,0.038,18
3551,0.033,11
3554,0.07,9
3555,0.4,15
3557,0.09,10
3558,0.03,18
3559,0.11,12
3561,0.33,17
3565,0.046,16
3569,0.046,15
3576,3.1,51
3577,4.68,45
3583,0.035,17
3584,0.034,18
3591,0.07,9
3592,0.06,13
3597,2.41,39
3598,12.9,31
3605,0.31,14
3606,0.043,15
3609,0.02,9
3611,0.025,13
3615,0.81,21
3616,4.52,51
3617,0.07,14
3618,0.06,11
3623,2.26,4
3669,1.99,36
3670,0.6,17
3673,0.47,19
3674,1.26,3
3679,0.043,15
3686,0.04,22
3690,0.06,15
3691,0.81,2
3692,2.29,5
3695,0.039,18
3713,0.035,21
3740,0.005,3
3741,0.08,6
3743,0.07,6
3744,0.032,13
3745,0.06,8
3748,0.038,14
3749,0.032,16
3750,0.038,32
3752,0.032,13
3753,0.029,17
3755,0.028,17
3757,0.041,17
3758,0.023,10
3764,0.86,22
3767,0.58,14
3784,0.022,16
3785,0.014,19
3788,0.09,10
3790,0.08,9
3793,0.016,16
3794,0.032,18
3810,0.015,11
3811,0.07,10
3812,0.08,10
3814,0.035,16
3818,2.78,47
3819,5.2,33
3825,0.68,19
3827,1.09,23
3840,0.05,9
3841,0.06,7
3842,0.015,16
3843,0.044,20
3848,0.68,19
3874,0.022,11
3890,2.53,34
3891,0.22,15
3892,4.62,57
3898,0.03,16
3899,0.008,9
3900,0.011,13
3901,0.018,20
3908,0.049,16
3911,0.01,16
3912,0.029,13
3923,0.041,17
3927,0.05,9
3931,0.035,12
3932,0.035,17
3938,0.1,10
3947,2.51,4
3954,0.76,5
3955,0.31,1
3956,6.31,15
3965,0.06,7
3974,0.05,4
3975,0.05,10
3978,0.009,6
4005,0.02,15
4008,0.06,10
4014,0.031,14
4026,0.06,10
4028,0.015,9
4047,0.64,19
4048,1.67,30
4068,2.71,5
4069,15.7,36
4070,2.38,46
4071,4.53,42
4084,0.38,13
4132,0.28,16
4133,0.06,11
4135,0.18,11
4138,1.93,29
4139,3.81,45
4141,0.07,11
4143,0.11,11
4144,0.09,13
4145,0.15,12
4149,0.044,13
4154,0.19,12
4155,0.038,15
4157,0.09,12
4158,0.25,14
4159,4.66,53
4160,0.37,19
4161,0.1,14
4164,0.03,17
4166,0.21,15
4168,0.07,11
4169,0.046,20
4171,0.046,16
4173,0.042,16
4174,0.042,16
4177,0.07,14
4178,0.1,11
4180,0.05,15
4187,0.07,13
4190,0.05,12
4193,0.06,11
4200,0.025,20
4205,0.06,11
4206,0.16,12
4207,0.041,17
4208,0.038,14
4209,0.46,14
4211,0.23,14
4214,0.08,17
4216,2.89,50
4217,0.57,19
4218,0.046,12
4221,0.34,19
4227,0.06,11
4231,0.07,11
4237,1.01,23
4247,1.13,20
4249,0.022,12
4250,1.2,6
4251,1.84,26
4254,2.89,48
4255,4.4,40
4256,0.51,20
4257,1.04,27
4259,0.88,22
4276,0.038,16
4277,0.23,15
4295,0.34,18
4297,5.01,3
4298,1.24,26
4311,0.046,15
4320,2.64,46
4321,0.34,16
4322,4.82,56
4326,0.049,13
4327,4.82,47
4331,0.98,28
4332,1.65,31
4353,5.19,6
4354,1.85,22
4362,2.81,39
4363,0.18,11
4366,0.75,4
4367,3.57,48
4369,3.42,44
4370,4.56,35
4377,1.5,24
4382,1,16
4383,0.73,19
4384,0.75,14
4385,0.73,16
4386,0.74,12
4387,0.76,20
4388,0.74,15
4389,0.74,18
4390,0.76,16
4391,6.02,47
4394,7.07,63
4419,4.21,49
4420,7.48,64
4421,0.05,15
4432,0.038,19
4435,0.06,8
4438,0.043,17
4449,0.048,17
4451,0.03,15
4453,0.038,14
4468,0.014,14
4478,2.05,4
4486,1.42,25
4499,0.028,19
4507,1.52,32
4512,0.95,28
4513,1.8,32
4515,0.64,21
4519,0.049,12
4547,0.02,23
4555,0.006,14
4564,2.57,50
4578,2.53,49
4579,4.21,47
4588,3.17,47
4589,4.52,41
4594,0.54,20
4597,5.44,43
4598,5.77,44
4603,0.1,7
4607,0.57,32
4611,0.4,25
4612,0.1,11
4613,0.16,13
4614,0.57,25
4615,0.23,16
4616,0.019,20
4617,0.35,15
4621,0.06,10
4628,0.35,16
4629,0.45,16
4630,6.14,4
4632,1.7,6
4634,0.08,12
4635,0.13,9
4636,0.16,9
4637,0.21,17
4638,0.07,12
4639,0.06,10
4640,0.09,9
4643,0.11,15
4644,0.13,18
4645,0.11,7
4649,0.041,15
4650,0.06,12
4651,0.042,20
4652,0.026,8
4653,0.037,23
4654,0.036,12
4655,0.041,22
4656,0.15,16
4657,1.14,28
4658,0.09,8
4659,0.08,7
4665,0.12,13
4667,0.032,10
4668,0.09,10
4672,0.011,18
4675,3.03,46
4676,0.16,13
4677,0.06,13
4679,0.07,9
4681,0.08,8
4682,0.12,10
4683,0.015,14
4685,0.13,9
4686,0.024,18
4687,0.25,14
4688,0.023,16
4689,0.032,12
4698,0.041,16
4699,0.07,11
4705,0.05,12
4706,0.06,13
4708,0.09,10
4709,0.038,19
4710,0.049,12
4711,0.036,16
4712,0.042,14
4715,0.07,6
4716,0.24,14
4717,0.07,9
4718,0.043,18
4719,0.6,31
4720,0.043,20
4723,0.024,19
4724,0.25,15
4727,0.017,19
4728,0.19,13
4733,0.036,15
4734,0.06,14
4735,0.025,21
4736,0.12,11
4737,0.09,16
4738,0.024,12
4739,0.05,11
4741,0.08,13
4742,0.08,10
4743,0.11,11
4744,0.18,17
4745,0.02,22
4746,0.05,18
4748,0.1,6
4749,0.09,12
4751,0.07,10
4752,0.09,10
4753,0.09,11
4754,0.05,12
4755,0.09,8
4756,0.021,18
4757,0.041,13
4759,0.045,19
4764,0.05,18
4765,0.12,9
4766,0.026,10
4767,0.11,11
4768,0.05,10
4769,0.047,13
4772,0.07,6
